"Contract Name","Last Trade Date (EDT)","Strike","Last Price","Bid","Ask","Change","% Change","Volume","Open Interest","Implied Volatility"
"PLTR250314C00123000","3/12/2025 1:21 PM","123","0.01","0.00","0.01","-0.03","-75.00%","2","452","175.00%"
"PLTR250314C00124000","3/10/2025 10:56 AM","124","0.02","0.00","0.01","0.00","0.00%","11","1,023","175.00%"
"PLTR250314C00125000","3/12/2025 12:33 PM","125","0.01","0.00","0.01","0.00","0.00%","27","2,411","181.25%"
"PLTR250314C00126000","3/12/2025 3:35 PM","126","0.01","0.00","0.01","0.00","0.00%","2","586","181.25%"
"PLTR250314C00127000","3/11/2025 12:19 PM","127","0.02","0.00","0.01","0.00","0.00%","16","444","187.50%"
"PLTR250314C00128000","3/12/2025 1:54 PM","128","0.01","0.00","0.01","0.00","0.00%","4","274","187.50%"
"PLTR250314C00129000","3/11/2025 2:32 PM","129","0.01","0.00","0.01","0.00","0.00%","70","167","193.75%"
"PLTR250314C00130000","3/12/2025 3:32 PM","130","0.01","0.00","0.01","0.00","0.00%","28","13,399","193.75%"
"PLTR250314C00131000","3/11/2025 9:32 AM","131","0.01","0.00","0.01","0.00","0.00%","6","139","196.88%"
"PLTR250314C00132000","3/10/2025 3:52 PM","132","0.01","0.00","0.01","0.00","0.00%","8","100","200.00%"
"PLTR250314C00133000","3/7/2025 2:22 PM","133","0.02","0.00","0.01","0.00","0.00%","2","51","206.25%"
"PLTR250314C00134000","3/10/2025 3:03 PM","134","0.01","0.00","0.01","0.00","0.00%","12","214","206.25%"
"PLTR250314C00135000","3/12/2025 1:26 PM","135","0.01","0.00","0.01","0.00","0.00%","6","1,449","212.50%"
"PLTR250314C00136000","3/10/2025 3:49 PM","136","0.01","0.00","0.01","0.00","0.00%","248","285","212.50%"
"PLTR250314C00137000","3/10/2025 3:50 PM","137","0.01","0.00","0.01","0.00","0.00%","4","39","218.75%"
"PLTR250314C00138000","3/7/2025 1:42 PM","138","0.01","0.00","0.01","0.00","0.00%","127","358","218.75%"
"PLTR250314C00139000","3/10/2025 3:50 PM","139","0.01","0.00","0.01","0.00","0.00%","4","483","225.00%"
"PLTR250314C00140000","3/12/2025 1:23 PM","140","0.01","0.00","0.01","0.00","0.00%","19","2,217","225.00%"
"PLTR250314C00145000","3/12/2025 2:15 PM","145","0.01","0.00","0.01","0.00","0.00%","2","535","237.50%"
"PLTR250314C00150000","3/11/2025 2:09 PM","150","0.01","0.00","0.01","0.00","0.00%","5","954","250.00%"
"PLTR250314C00155000","3/11/2025 1:40 PM","155","0.01","0.00","0.01","0.00","0.00%","11","1,002","262.50%"
"PLTR250314C00160000","3/11/2025 1:41 PM","160","0.01","0.00","0.01","0.00","0.00%","3","829","275.00%"
"PLTR250314C00165000","3/11/2025 2:43 PM","165","0.01","0.00","0.01","0.00","0.00%","8","649","287.50%"
"PLTR250314C00170000","3/5/2025 1:46 PM","170","0.01","0.00","0.01","0.00","0.00%","1","375","300.00%"
"PLTR250314C00175000","3/11/2025 1:40 PM","175","0.01","0.00","0.01","0.00","0.00%","1","214","312.50%"
"PLTR250314C00180000","3/11/2025 1:40 PM","180","0.01","0.00","0.01","0.00","0.00%","6","1,146","325.00%"
"PLTR250314C00185000","3/12/2025 1:05 PM","185","0.01","0.00","0.01","0.00","0.00%","1","610","331.25%"
